ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
1,JAWA TIMUR,KAB. LUMAJANG,TEMPURSARI,KALIULING,67375,
2,SULAWESI SELATAN,KAB. KEPULAUAN SELAYAR,BONTOSIKUYU,LOWA,92855,
3,SULAWESI SELATAN,KOTA MAKASSAR,TAMALATE,MACCINI SOMBALA,90224,
4,JAWA TIMUR,KAB. JOMBANG,KUDU,SUMBERTEGUH,61454,
5,LAMPUNG,KAB. PESISIR BARAT,PESISIR SELATAN,SUKARAME,35985,
6,JAWA TENGAH,KAB. CILACAP,WANAREJA,CIGINTUNG,53265,
7,JAWA TIMUR,KAB. BONDOWOSO,KLABANG,LEPRAK,68284,
8,JAWA TIMUR,KAB. GRESIK,CERME,BETITING,61171,
9,SULAWESI SELATAN,KAB. LUWU UTARA,MALANGKE BARAT,PANGKAJOANG,92957,
10,SUMATERA UTARA,KAB. LABUHANBATU UTARA,KUALUH LEIDONG,TELUK PULAI DALAM,21775,
11,ACEH,KAB. PIDIE,GRONG-GRONG,KARIENG,24154,
12,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,DOLOK,HUTA BARU SIL,22756,
13,JAWA BARAT,KAB. PURWAKARTA,BUNGURSARI,CIBODAS,41182,
14,LAMPUNG,KAB. LAMPUNG TIMUR,BATANGHARI,BUMI HARJO,34381,
15,JAWA TIMUR,KAB. MADIUN,GEGER,PUTAT,63171,
16,PAPUA BARAT DAYA,KAB. PEGUNUNGAN ARFAK,CATUBOUW,IJIGREG,98378,
17,SUMATERA UTARA,KAB. SERDANG BEDAGAI,BINTANG BAYU,UJUNG NEGERI HULU,20983,
18,JAWA TENGAH,KAB. BLORA,BLORA,NGADIPURWO,58219,
19,JAWA TIMUR,KAB. PROBOLINGGO,BANYUANYAR,GUNUNGGENI,67275,
20,JAWA TENGAH,KAB. KEBUMEN,AYAH,KALIPOH,54373,
21,BENGKULU,KAB. KAUR,TANJUNG KEMUNING,PADANG TINGGI,38955,
22,SULAWESI TENGGARA,KOTA BAU BAU,KOKALUKUNA,WARURUMA,93716,
23,JAWA TENGAH,KAB. KEBUMEN,KARANGGAYAM,GIRITIRTO,54365,
24,SUMATERA UTARA,KAB. LANGKAT,WAMPU,GERGAS,20885,
25,JAWA TENGAH,KAB. WONOSOBO,KALIKAJAR,MUNGKUNG,56372,
26,KALIMANTAN TIMUR,KAB. MAHAKAM ULU,LONG HUBUNG,WANA PARIQ,75866,
27,JAWA TIMUR,KAB. TRENGGALEK,PANGGUL,DEPOK,66364,
28,JAWA BARAT,KAB. MAJALENGKA,LEUWIMUNDING,RAJAWANGI,45473,
29,KALIMANTAN TENGAH,KAB. LAMANDAU,MENTHOBI RAYA,BUKIT HARUM,74668,
30,KALIMANTAN BARAT,KAB. MELAWI,MENUKUNG,MENUKUNG KOTA,78682,
31,JAMBI,KAB. TEBO,RIMBO BUJANG,RIMBO MULYO,37553,
32,JAWA TIMUR,KAB. BANYUWANGI,GLAGAH,KAMPUNGANYAR,68454,
33,BENGKULU,KAB. KAUR,KAUR SELATAN,PADANG GENTING,38916,
34,SULAWESI TENGAH,KAB. MOROWALI,BUNGKU TIMUR,KOLONO,94954,
35,SULAWESI UTARA,KAB. MINAHASA TENGGARA,TOULUAAN,RANOKETANG ATAS SATU,95985,
36,SULAWESI SELATAN,KAB. SINJAI,SINJAI SELATAN,PALANGKA,92661,
37,LAMPUNG,KAB. LAMPUNG SELATAN,PALAS,PULAU JAYA,35593,
38,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,SILIMO,SILON,99044,
39,NUSA TENGGARA BARAT,KOTA MATARAM,CAKRANEGARA,CAKRANEGARA SELATAN BARU,83234,
40,PAPUA BARAT DAYA,KAB. TELUK BINTUNI,MANIMERI,BUMI SANIARI,98552,
41,SUMATERA UTARA,KAB. TAPANULI UTARA,SIMANGUMBAN,LOBU SIHIM,22466,
42,JAWA TIMUR,KAB. LAMONGAN,KALITENGAH,KULURAN,62255,
43,ACEH,KAB. ACEH BESAR,SUKAMAKMUR,DILIB BUKIT,23361,
44,LAMPUNG,KAB. LAMPUNG SELATAN,SIDOMULYO,SIRING JAHA,35553,
45,PAPUA SELATAN,KAB. MAPPI,HAJU,OMURO,99881,
46,JAWA TIMUR,KAB. KEDIRI,PAPAR,KEPUH,64153,
