value,label
abbey,Abbey
accountant,Accountant
acupuncturist,Acupuncturist
aeroclub,Aeroclub
airline,Airline
airport,Airport
airstrip,Airstrip
allergist,Allergist
amphitheatre,Amphitheatre
anesthesiologist,Anesthesiologist
anodizer,Anodizer
appraiser,Appraiser
aquarium,Aquarium
arboretum,Arboretum
architect,Architect
archive,Archive
arena,Arena
artist,Artist
asador,Asador
ashram,Ashram
astrologer,Astrologer
atm,Atm
audiologist,Audiologist
auditor,Auditor
auditorium,Auditorium
babysitter,Babysitter
bakery,Bakery
band,Band
bank,Bank
bar,Bar
barrister,Barrister
basilica,Basilica
bazar,Bazar
beautician,Beautician
berufsfachschule,Berufsfachschule
bistro,Bistro
blacksmith,Blacksmith
bookbinder,Bookbinder
bookmaker,Bookmaker
botanica,Botanica
boutique,Boutique
brewery,Brewery
brewpub,Brewpub
bricklayer,Bricklayer
bridge,Bridge
bullring,Bullring
cafe,Cafe
cafeteria,Cafeteria
camp,Camp
campground,Campground
cannery,Cannery
cardiologist,Cardiologist
carpenter,Carpenter
carpool,Carpool
casino,Casino
castle,Castle
cathedral,Cathedral
cattery,Cattery
cemetery,Cemetery
chalet,Chalet
chapel,Chapel
charcuterie,Charcuterie
charity,Charity
chiropractor,Chiropractor
choir,Choir
church,Church
churreria,Churreria
circus,Circus
class,Class
cleaners,Cleaners
clergyman,Clergyman
clinic,Clinic
club,Club
coalfield,Coalfield
college,College
confectionery,Confectionery
congregation,Congregation
consultant,Consultant
contractor,Contractor
conveyancer,Conveyancer
coppersmith,Coppersmith
cottage,Cottage
council,Council
counselor,Counselor
creche,Creche
creperie,Creperie
dairy,Dairy
deli,Deli
dentist,Dentist
dermatologist,Dermatologist
dhaba,Dhaba
diabetologist,Diabetologist
dietitian,Dietitian
diner,Diner
disco,Disco
distillery,Distillery
dj,Dj
doctor,Doctor
doula,Doula
dressmaker,Dressmaker
drugstore,Drugstore
dyeworks,Dyeworks
electrician,Electrician
embassy,Embassy
endocrinologist,Endocrinologist
endodontist,Endodontist
endoscopist,Endoscopist
engineer,Engineer
engraver,Engraver
entertainer,Entertainer
executor,Executor
exhibit,Exhibit
exporter,Exporter
fairground,Fairground
farm,Farm
farmstay,Farmstay
favela,Favela
festival,Festival
florist,Florist
fortress,Fortress
foundation,Foundation
foundry,Foundry
frituur,Frituur
garden,Garden
gardener,Gardener
gasfitter,Gasfitter
gastroenterologist,Gastroenterologist
gastropub,Gastropub
gemologist,Gemologist
genealogist,Genealogist
geriatrician,Geriatrician
glazier,Glazier
goldsmith,Goldsmith
greenhouse,Greenhouse
gym,Gym
gynecologist,Gynecologist
haberdashery,Haberdashery
hammam,Hammam
handicraft,Handicraft
handyman,Handyman
hauptschule,Hauptschule
heliport,Heliport
helpline,Helpline
hematologist,Hematologist
hepatologist,Hepatologist
herbalist,Herbalist
homeopath,Homeopath
hospice,Hospice
hospital,Hospital
hostel,Hostel
hotel,Hotel
hypermarket,Hypermarket
immunologist,Immunologist
importer,Importer
inn,Inn
intensivist,Intensivist
internist,Internist
iut,Iut
jeweler,Jeweler
joiner,Joiner
junkyard,Junkyard
karaoke,Karaoke
kennel,Kennel
kindergarten,Kindergarten
kinesiologist,Kinesiologist
kinesiotherapist,Kinesiotherapist
kiosk,Kiosk
laboratory,Laboratory
landscaper,Landscaper
lapidary,Lapidary
laundromat,Laundromat
laundry,Laundry
lawyer,Lawyer
leisurecentre,Leisurecentre
library,Library
lido,Lido
liquidator,Liquidator
locksmith,Locksmith
lodge,Lodge
lodging,Lodging
lounge,Lounge
lyceum,Lyceum
magician,Magician
makerspace,Makerspace
manufacturer,Manufacturer
marae,Marae
marina,Marina
market,Market
mechanic,Mechanic
memorial,Memorial
meyhane,Meyhane
midwife,Midwife
mill,Mill
mine,Mine
mission,Mission
mohel,Mohel
monastery,Monastery
mortuary,Mortuary
mosque,Mosque
motel,Motel
musalla,Musalla
museum,Museum
musician,Musician
nephrologist,Nephrologist
neurologist,Neurologist
neurophysiologist,Neurophysiologist
neuropsychologist,Neuropsychologist
neurosurgeon,Neurosurgeon
newsstand,Newsstand
numerologist,Numerologist
nunnery,Nunnery
nutritionist,Nutritionist
observatory,Observatory
oilfield,Oilfield
oncologist,Oncologist
onsen,Onsen
ophthalmologist,Ophthalmologist
optician,Optician
optometrist,Optometrist
orchard,Orchard
orchestra,Orchestra
orphanage,Orphanage
orthodontist,Orthodontist
orthoptist,Orthoptist
osteopath,Osteopath
otolaryngologist,Otolaryngologist
pachinko,Pachinko
pagoda,Pagoda
painter,Painter
painting,Painting
parapharmacy,Parapharmacy
parish,Parish
park,Park
pathologist,Pathologist
patisserie,Patisserie
pediatrician,Pediatrician
pedorthist,Pedorthist
periodontist,Periodontist
pharmacy,Pharmacy
photographer,Photographer
physiatrist,Physiatrist
physiotherapist,Physiotherapist
pizzatakeaway,Pizzatakeaway
planetarium,Planetarium
playground,Playground
playgroup,Playgroup
plumber,Plumber
podiatrist,Podiatrist
preschool,Preschool
priest,Priest
prison,Prison
proctologist,Proctologist
promenade,Promenade
prosthetics,Prosthetics
prosthodontist,Prosthodontist
psychiatrist,Psychiatrist
psychic,Psychic
psychoanalyst,Psychoanalyst
psychologist,Psychologist
psychotherapist,Psychotherapist
pub,Pub
publisher,Publisher
pulmonologist,Pulmonologist
pyrotechnician,Pyrotechnician
quarry,Quarry
radiologist,Radiologist
radiotherapist,Radiotherapist
rafting,Rafting
ranch,Ranch
realschule,Realschule
recruiter,Recruiter
rectory,Rectory
reflexologist,Reflexologist
remodeler,Remodeler
restaurant,Restaurant
rheumatologist,Rheumatologist
rodeo,Rodeo
rugby,Rugby
sacem,Sacem
saddlery,Saddlery
sailmaker,Sailmaker
sambodrome,Sambodrome
sauna,Sauna
scaffolder,Scaffolder
school,School
scouting,Scouting
sculptor,Sculptor
sculpture,Sculpture
seitai,Seitai
seminary,Seminary
sexologist,Sexologist
shelter,Shelter
shipyard,Shipyard
shopfitter,Shopfitter
showroom,Showroom
shrine,Shrine
silversmith,Silversmith
slaughterhouse,Slaughterhouse
soapland,Soapland
spa,Spa
stable,Stable
stadium,Stadium
stage,Stage
statuary,Statuary
store,Store
stylist,Stylist
supermarket,Supermarket
surgeon,Surgeon
surveyor,Surveyor
synagogue,Synagogue
tailor,Tailor
tannery,Tannery
taxidermist,Taxidermist
toolroom,Toolroom
translator,Translator
turnery,Turnery
university,University
urologist,Urologist
velodrome,Velodrome
venereologist,Venereologist
veterinarian,Veterinarian
villa,Villa
vineyard,Vineyard
warehouse,Warehouse
weir,Weir
welder,Welder
wholesaler,Wholesaler
winery,Winery
woodworker,Woodworker
yakatabune,Yakatabune
yeshiva,Yeshiva
zoo,Zoo
aadhar center,Aadhar Center
abarth dealer,Abarth Dealer
abortion clinic,Abortion Clinic
abrasives supplier,Abrasives Supplier
acai shop,Acai Shop
acaraje restaurant,Acaraje Restaurant
accounting firm,Accounting Firm
accounting school,Accounting School
acoustical consultant,Acoustical Consultant
acrylic store,Acrylic Store
acupuncture clinic,Acupuncture Clinic
acupuncture school,Acupuncture School
acura dealer,Acura Dealer
administrative attorney,Administrative Attorney
adoption agency,Adoption Agency
adventure sports,Adventure Sports
advertising agency,Advertising Agency
advertising photographer,Advertising Photographer
aerial photographer,Aerial Photographer
aerobics instructor,Aerobics Instructor
aeromodel shop,Aeromodel Shop
aeronautical engineer,Aeronautical Engineer
aerospace company,Aerospace Company
afghani restaurant,Afghani Restaurant
african restaurant,African Restaurant
agenzia entrate,Agenzia Entrate
aggregate supplier,Aggregate Supplier
agistment service,Agistment Service
agricultural association,Agricultural Association
agricultural cooperative,Agricultural Cooperative
agricultural engineer,Agricultural Engineer
agricultural organization,Agricultural Organization
agricultural production,Agricultural Production
agricultural service,Agricultural Service
agrochemicals supplier,Agrochemicals Supplier
aikido club,Aikido Club
aikido school,Aikido School
air taxi,Air Taxi
airbrushing service,Airbrushing Service
aircraft dealer,Aircraft Dealer
aircraft manufacturer,Aircraft Manufacturer
airplane exhibit,Airplane Exhibit
alcohol manufacturer,Alcohol Manufacturer
alliance church,Alliance Church
alsace restaurant,Alsace Restaurant
alternator supplier,Alternator Supplier
aluminium supplier,Aluminium Supplier
aluminum welder,Aluminum Welder
aluminum window,Aluminum Window
amateur theatre,Amateur Theatre
ambulance service,Ambulance Service
american restaurant,American Restaurant
ammunition supplier,Ammunition Supplier
amusement center,Amusement Center
amusement park,Amusement Park
anago restaurant,Anago Restaurant
andalusian restaurant,Andalusian Restaurant
andhra restaurant,Andhra Restaurant
anganwadi center,Anganwadi Center
anglican church,Anglican Church
animal hospital,Animal Hospital
animal park,Animal Park
animal shelter,Animal Shelter
animation studio,Animation Studio
anime club,Anime Club
antique store,Antique Store
apartment building,Apartment Building
apartment complex,Apartment Complex
apostolic church,Apostolic Church
appliance store,Appliance Store
apprenticeship center,Apprenticeship Center
aquaculture farm,Aquaculture Farm
aquarium shop,Aquarium Shop
aquatic center,Aquatic Center
arab restaurant,Arab Restaurant
archaeological museum,Archaeological Museum
archery club,Archery Club
archery range,Archery Range
archery store,Archery Store
architects association,Architects Association
architectural designer,Architectural Designer
architecture firm,Architecture Firm
architecture school,Architecture School
argentinian restaurant,Argentinian Restaurant
armenian church,Armenian Church
armenian restaurant,Armenian Restaurant
army base,Army Base
army facility,Army Facility
army museum,Army Museum
aromatherapy class,Aromatherapy Class
aromatherapy service,Aromatherapy Service
art cafe,Art Cafe
art center,Art Center
art dealer,Art Dealer
art gallery,Art Gallery
art museum,Art Museum
art school,Art School
art studio,Art Studio
arts organization,Arts Organization
