,ID,NAMA,KOORDINAT,ALAMAT,RATING,JML_RATING,TAG_GOOGLE,KELURAHAN,KECAMATAN,KOTA,PROVINSI,TIPE,IDCARI,DATA_UPDATE
0,1,Balai Desa Sumbergiri,"-7.9658455, 110.7227898","2PMF+M47, Jl. Koripan 1",4.3,166,Balai masyarakat,SUMBERGIRI,PONJONG,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,1495,2024-05-29 08:34:19
1,2,Mantrijeron,"-7.8124904, 110.3524308",59Q2+2X3,5.0,3,Kantor Perusahaan,MANTRIJERON,MANTRIJERON,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,1633,2024-05-29 08:34:20
2,3,Ndalem Djoyo,"-7.8219344, 110.3619632",Jageran MJ.3/384,5.0,1,Perusahaan Induk,MANTRIJERON,MANTRIJERON,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,1633,2024-05-29 08:34:20
3,4,Mantrijeron,"-7.8176226, 110.3572094","59J4+XV4, Jl. Suryodiningratan 2",5.0,1,Pembangunan Perumahan,MANTRIJERON,MANTRIJERON,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,1633,2024-05-29 08:34:20
4,5,PT. Digital Registra Indonesia,"-7.7486302, 110.3741713",Jl. Lempongsari Raya No.39C,4.8,10,Layanan Web Hosting,SENDANGADI,MLATI,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,2104,2024-05-29 08:34:27
5,6,LAXILENT CORP,"-7.7258938, 110.3752959","Perum, Jl. Pesona Anindya Palagan No.B7",5.0,2,Registri perusahaan,SENDANGADI,MLATI,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,2104,2024-05-29 08:34:27
6,7,Kantor PRM Bulurejo (Pimpinan Ranting Muhammadiyah Bulurejo),"-7.8592747, 110.7368826",Jl. Semin-Cawas,5.0,1,Asosiasi/organisasi,BULUREJO,SEMIN,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,2331,2024-05-29 08:34:30
7,8,"Balai Padukuhan Keringan Wetan, Bulurejo, Semin, Gunungkidul","-7.8592751, 110.7443933","4PRV+7QJ, Unnamed Road",5.0,1,Kantor Perusahaan,BULUREJO,SEMIN,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,2331,2024-05-29 08:34:30
8,9,YOGYAKARTA PROPERTIS,"-7.902624, 110.3540888",Jl. Parangtritis No.18,5.0,1,Layanan Telemarketing,PATALAN,JETIS,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,2413,2024-05-29 08:34:31
9,10,Kantor Kapanewon Minggir,"-7.7255856, 110.2348377","Jl. Kebonagung, Pojok 5, Sendangagung, Minggir",4.5,39,Kantor Pemerintah Distrik,SENDANGAGUNG,MINGGIR,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,2486,2024-05-29 08:34:33
10,11,Jl PAKELAN SENDANG MULYO MINGGIR SLEMAN,"-7.7318614, 110.2424625","769R+7X4, Jl. Jetis",5.0,2,Kantor Perusahaan,SENDANGAGUNG,MINGGIR,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,2486,2024-05-29 08:34:33
11,12,Wisma Muhammadiyah Ngloji Minggir,"-7.7272394, 110.2335786","76FM+4C4, Pojok",4.9,14,Tempat Ibadah,SENDANGAGUNG,MINGGIR,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,2486,2024-05-29 08:34:33
12,13,Sendangagung farm,"-7.716945, 110.2339614",Kisik 1 002/001,5.0,1,Toko sembako pemerintah,SENDANGAGUNG,MINGGIR,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,2486,2024-05-29 08:34:33
13,14,Arkavisi,"-7.7887477, 110.3744776",Jl. Yos Sudarso No.21,5.0,1,Registri perusahaan,SEMAKI,UMBULHARJO,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,3324,2024-05-29 08:34:37
14,15,Office Merapi Online,"-7.8268954, 110.3760378",Jl. Wirosaban Barat No.4,5.0,7,Registri perusahaan,SEMAKI,UMBULHARJO,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,3324,2024-05-29 08:34:37
15,16,Agen POS Jangkaran,"-7.8851646, 110.039687","Jl. Congot KM. 1, 55654",4.0,1,Kantor Pos,JANGKARAN,TEMON,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,4021,2024-05-29 08:34:42
16,17,Kantor PCM Seyegan,"-7.7125, 110.3064806",78P4+XHX,1.0,1,Kantor Perusahaan,MARGOAGUNG,SEYEGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,4043,2024-05-29 08:34:44
17,18,"Kantor PPAT AR Condrobirowo, SH., MKn.","-7.7124138, 110.30628",Jl. Tempel-Seyegan,5.0,3,Pejabat Pembuat Akta Tanah,MARGOAGUNG,SEYEGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,4043,2024-05-29 08:34:44
18,19,Rumah,"-7.7095843, 110.3052718","78R4+546, Jl. Raya Margoagung",5.0,1,Katering,MARGOAGUNG,SEYEGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,4043,2024-05-29 08:34:44
19,20,RASI SLEMAN YOGYAKARTA,"-7.717822, 110.430715",Jl. Raya Wonorejo Jl. Tonggalan No.1,5.0,2,Kantor Hubungan Masyarakat,WEDOMARTANI,NGEMPLAK,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,4095,2024-05-29 08:34:46
20,21,Kantor Best Places Site,"-7.7272817, 110.433538",7CFM+3CM,5.0,2,Kantor Perusahaan,WEDOMARTANI,NGEMPLAK,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,4095,2024-05-29 08:34:46
