,ID,NAMA,KOORDINAT,ALAMAT,RATING,JML_RATING,TAG_GOOGLE,KELURAHAN,KECAMATAN,KOTA,PROVINSI,TIPE,IDCARI,DATA_UPDATE
0,1,Kantor Kepala Desa Kalipoh,"-7.7296079, 109.408108",7CC5+565,3.8,41,Kantor Perusahaan,KALIPOH,AYAH,KAB. KEBUMEN,JAWA TENGAH,company registry,20,2024-05-29 09:11:44
1,2,Kantor Desa Kalipoh,"-7.7285049, 109.4058543",Dusun Ranceban RT 7/II kode Pos,1.0,1,Kantor Perusahaan,KALIPOH,AYAH,KAB. KEBUMEN,JAWA TENGAH,company registry,20,2024-05-29 09:11:44
2,3,Kantor Desa Selo,"-7.4994189, 110.4709509","GF2C+6CF, Jl. Magelang - Boyolali, Dusun I, Samiran",4.0,3,Kantor Pemerintah,SAMIRAN,SELO,KAB. BOYOLALI,JAWA TENGAH,company registry,90,2024-05-29 09:11:53
3,4,Kantor Kecamatan Selo,"-7.5010762, 110.4602859",Jl. Magelang - Boyolali No.103,4.2,18,Kantor Pemerintah Distrik,SAMIRAN,SELO,KAB. BOYOLALI,JAWA TENGAH,company registry,90,2024-05-29 09:11:53
4,5,Desa Samiran,"-7.5001046, 110.462693","Ktr. Desa Samiran, Jl. Ki Hajar Saloka No.86",4.7,10,Kantor Pemerintah,SAMIRAN,SELO,KAB. BOYOLALI,JAWA TENGAH,company registry,90,2024-05-29 09:11:53
5,6,SIDODADI RT14 MOJODOYONG KEDAWUNG SRAGEN,"-7.5358363, 111.0387478",F27Q+MF9,3.0,1,Komplek perumahan,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-29 09:11:54
6,7,Usaha Terpadu TMO,"-7.5224844, 111.0407268","F2HR+275, Sidorejo, RT.06",4.0,2,Peternakan,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-29 09:11:54
7,8,Kantor Cater PLN Sumberlawang,"-7.334529, 110.8528843","MV83+55J, Plosokerep,",3.2,24,Perusahaan Listrik,PENDEM,SUMBERLAWANG,KAB. SRAGEN,JAWA TENGAH,company registry,158,2024-05-29 09:12:02
8,9,PT. Varia Usaha Beton (BSP & BPC Sayung),"-6.9408192, 110.511518","JL. Raya Semarang-Demak, Km. 10, Sayung",4.3,49,Pemasok Semen Ready-mix,SAYUNG,SAYUNG,KAB. DEMAK,JAWA TENGAH,company registry,197,2024-05-29 09:12:05
9,10,PT Hartono Istana Teknologi (Polytron) - Site Sayung,"-6.9453092, 110.4978744",Jl. Semarang - Demak No.KM.9,4.2,504,Produsen Elektronik,SAYUNG,SAYUNG,KAB. DEMAK,JAWA TENGAH,company registry,197,2024-05-29 09:12:05
10,11,Balai Desa Sayung,"-6.9447953, 110.5118183",3G46+3PP,4.3,31,Kantor Hubungan Masyarakat,SAYUNG,SAYUNG,KAB. DEMAK,JAWA TENGAH,company registry,197,2024-05-29 09:12:05
11,12,TPA Winong Banjarnegara,"-7.4137562, 109.6222623",HJPF+86R,5.0,1,Tempat Pembuangan Sampah,WINONG,BAWANG,KAB. BANJARNEGARA,JAWA TENGAH,company registry,230,2024-05-29 09:12:13
12,13,Kantor Kepala Desa Kademangaran,"-6.8937603, 109.1398666",444Q+FWX,5.0,1,Kantor Hubungan Masyarakat,KADEMANGARAN,DUKUHTURI,KAB. TEGAL,JAWA TENGAH,company registry,235,2024-05-29 09:12:17
13,14,Agen Pos Kademangaraan,"-6.8926683, 109.1423066","444R+WWM, Jalan Raya",5.0,1,Kantor Perusahaan,KADEMANGARAN,DUKUHTURI,KAB. TEGAL,JAWA TENGAH,company registry,235,2024-05-29 09:12:17
14,15,CV. Tegal Info Media (infotegal),"-6.8898746, 109.1356836","Jl. Walisongo, RT./ RW:/RW.04/01",5.0,3,Perusahaan Media,KADEMANGARAN,DUKUHTURI,KAB. TEGAL,JAWA TENGAH,company registry,235,2024-05-29 09:12:17
15,16,Agen CMB Kab Pekalongan,"-7.1750658, 109.6137446","RJF7+XFH, Jl. Desa Botosari, Botosari, Paninggaran",5.0,2,Kantor Perusahaan,BOTOSARI,PANINGGARAN,KAB. PEKALONGAN,JAWA TENGAH,company registry,316,2024-05-29 09:12:33
16,17,Sabrangkali Karangdukuh Jogonalan Klaten,"-7.728721, 110.5687291",7HC9+GF9 Sabrangkali,5.0,1,Perusahaan Konstruksi,KARANGDUKUH,JOGONALAN,KAB. KLATEN,JAWA TENGAH,company registry,321,2024-05-29 09:12:35
17,18,Klaten (Jawa tengah),"-7.7199061, 110.5683209","7HJ9+28P, Jl. Klaten-Jogja",5.0,1,Perusahaan Konstruksi,KARANGDUKUH,JOGONALAN,KAB. KLATEN,JAWA TENGAH,company registry,321,2024-05-29 09:12:35
18,19,Rejosari,"-7.1832038, 110.495143",RF8W+P36,5.0,1,Kantor Perusahaan,WONOYOSO,PRINGAPUS,KAB. SEMARANG,JAWA TENGAH,company registry,435,2024-05-29 09:12:49
19,20,NCS Undaan ( Jasa Pengiriman) dan elfaez.com (Jasa Penjualan Online),"-6.8922162, 110.8090666",4R55+4J8,5.0,1,Kantor Pos,UNDAAN KIDUL,UNDAAN,KAB. KUDUS,JAWA TENGAH,company registry,444,2024-05-29 09:12:51
20,21,Kantor Desa Undaan Tengah,"-6.8866985, 110.8110616",4R76+8CF,4.3,4,Kantor Pemerintah,UNDAAN KIDUL,UNDAAN,KAB. KUDUS,JAWA TENGAH,company registry,444,2024-05-29 09:12:51
21,22,TPS 02 KALIKOBOK TANON,"-7.3745674, 110.9191636","JWG9+5MF, Unnamed Road",5.0,2,Kantor Perusahaan,KALIKOBOK,TANON,KAB. SRAGEN,JAWA TENGAH,company registry,450,2024-05-29 09:12:56
22,23,Milagros Tanon Sragen Jawa Tengah,"-7.3674189, 110.917835",JWM9+24P,5.0,1,Toko Elektronik,KALIKOBOK,TANON,KAB. SRAGEN,JAWA TENGAH,company registry,450,2024-05-29 09:12:56
23,24,TPS 01 KALIKOBOK TANON,"-7.3750068, 110.9167734","JWF8+XPR, Unnamed Road",4.0,1,Kantor Perusahaan,KALIKOBOK,TANON,KAB. SRAGEN,JAWA TENGAH,company registry,450,2024-05-29 09:12:56
24,25,RF Melati,"-6.9013547, 109.7727853","Depok Wetan RT 1 RW 3 No 40, Desa",5.0,2,Kantor Perusahaan,DEPOK,KANDEMAN,KAB. BATANG,JAWA TENGAH,company registry,502,2024-05-29 09:13:07
25,26,Giritontro.com,"-8.0668425, 110.8718892","WVMC+7Q6, Jl. Giritontro - Giriwoyo",4.7,11,Kantor Perusahaan,NGARGOHARJO,GIRITONTRO,KAB. WONOGIRI,JAWA TENGAH,company registry,511,2024-05-29 09:13:11
26,27,3KIOSK NGADIREJO,"-7.2496619, 110.0656318",Jl. Baru,5.0,3,Penyedia Layanan Telekomunikasi,KATAAN,NGADIREJO,KAB. TEMANGGUNG,JAWA TENGAH,company registry,514,2024-05-29 09:13:12
27,28,J&T Express Ngadirejo,"-7.24676, 110.0642869","jaman, Jl. Parakan Weleri, RT.3/RW.3",3.6,116,Perusahaan Ekspedisi,KATAAN,NGADIREJO,KAB. TEMANGGUNG,JAWA TENGAH,company registry,514,2024-05-29 09:13:12
28,29,Kantor Desa Wonosekar,"-6.6970872, 110.9745093","Wonosekar, Gembong",5.0,4,Kantor Pemerintah,WONOSEKAR,GEMBONG,KAB. PATI,JAWA TENGAH,company registry,602,2024-05-29 09:13:31
29,30,Kantor Kecamatan Tahunan,"-6.6242456, 110.6939526",Buka,5.0,27,Pelayan Proses,LANGON,TAHUNAN,KAB. JEPARA,JAWA TENGAH,company registry,628,2024-05-29 09:13:36
30,31,PT. Mitra Pengusaha Indonesia (Mitra Group Official Outsourcing Semarang),"-6.9680117, 110.3956263","Ruko, Jl. Semarang Indah No.25 - 25A Blok C8",4.5,170,Agen Tenaga Kerja,PINDRIKAN KIDUL,SEMARANG TENGAH,KOTA SEMARANG,JAWA TENGAH,company registry,650,2024-05-29 09:15:27
31,32,PT. Reycom Document Solusi,"-6.9788685, 110.4054846",Jl. Indraprasta No.79,4.5,24,Kantor Perusahaan,PINDRIKAN KIDUL,SEMARANG TENGAH,KOTA SEMARANG,JAWA TENGAH,company registry,650,2024-05-29 09:15:27
32,33,PT Media Digipostker Info,"-6.9838647, 110.4243213",Jl. Kemuning I No.21-4,4.0,1,Perusahaan Media,PINDRIKAN KIDUL,SEMARANG TENGAH,KOTA SEMARANG,JAWA TENGAH,company registry,650,2024-05-29 09:15:27
33,34,Mitra Izin Semarang,"-7.0610174, 110.4621132",Jl. Bukit Kencana Jaya No.32,5.0,46,Registri perusahaan,PINDRIKAN KIDUL,SEMARANG TENGAH,KOTA SEMARANG,JAWA TENGAH,company registry,650,2024-05-29 09:15:27
34,35,balai desa tumenggungan,"-7.787367, 109.966598","6X78+3J5, Jl. Curug",4.1,8,Kantor Perusahaan,TUMENGGUNGAN,NGOMBOL,KAB. PURWOREJO,JAWA TENGAH,company registry,659,2024-05-29 09:15:30
35,36,Kantor Pos Wanadadi,"-7.388991, 109.59746",JH6W+CX4,4.8,4,Kantor Pos,TAPEN,WANADADI,KAB. BANJARNEGARA,JAWA TENGAH,company registry,681,2024-05-29 09:15:35
36,37,JNE WANADADI,"-7.3896851, 109.5963968","JH6W+4HC, Jl",2.3,3,Jasa Kurir,TAPEN,WANADADI,KAB. BANJARNEGARA,JAWA TENGAH,company registry,681,2024-05-29 09:15:35
37,38,Kantor Cater pln tegowanu,"-7.0470263, 110.6064632",XJ34+5HP,2.3,3,Perusahaan Listrik,TEGOWANUKULON,TEGOWANU,KAB. GROBOGAN,JAWA TENGAH,company registry,743,2024-05-29 09:15:45
38,39,PLN Tegowanoe,"-7.050103, 110.6032006","WJX3+X74, Jl. Raya Tegowanu, Semarang-Purwodadi",2.2,101,Perusahaan Listrik,TEGOWANUKULON,TEGOWANU,KAB. GROBOGAN,JAWA TENGAH,company registry,743,2024-05-29 09:15:45
39,40,PT Kailo Sumber Kasih Demak,"-6.9366313, 110.5345527",Jl. Semarang - Demak No.2,3.9,30,Pabrik Plastik,LOIRENG,SAYUNG,KAB. DEMAK,JAWA TENGAH,company registry,781,2024-05-29 09:15:52
40,41,Surya Rengo Containers. PT,"-6.9325511, 110.5378301","Jl. Semarang - Demak No.KM 13, RW.5",4.0,111,Pabrik Kertas,LOIRENG,SAYUNG,KAB. DEMAK,JAWA TENGAH,company registry,781,2024-05-29 09:15:52
41,42,Kantor BUMDes Reban,"-7.0795392, 109.8670109","WVC8+5RJ, Jl. Raya Reban - Blado",5.0,1,Jasa Pembuangan Sampah,REBAN,REBAN,KAB. BATANG,JAWA TENGAH,company registry,795,2024-05-29 09:15:53
42,43,Kecamatan Reban Kabupaten Batang,"-7.0835095, 109.8753046","Reban, depan",4.2,5,Kantor Pemda,REBAN,REBAN,KAB. BATANG,JAWA TENGAH,company registry,795,2024-05-29 09:15:53
43,44,Karanganyar Gunung 248,"-7.0167574, 110.4318712",Jl. Karanganyar Gn. No.248,5.0,2,Perusahaan Software,KARANGANYAR GUNUNG,CANDISARI,KOTA SEMARANG,JAWA TENGAH,company registry,812,2024-05-29 09:15:54
44,45,Kantor Desa Banjarejo,"-7.0038755, 110.5675199",XHW9+C2R,3.0,1,Kantor Pemerintah,BANJAREJO,GUNTUR,KAB. DEMAK,JAWA TENGAH,company registry,827,2024-05-29 09:15:58
45,46,RAGNALA COMPANY,"-7.7222822, 109.8583688","7VH5+37J, Jl. Nasional III",3.7,3,Kantor Perusahaan,DLANGU,BUTUH,KAB. PURWOREJO,JAWA TENGAH,company registry,830,2024-05-29 09:15:59
46,47,Kantor Kecamatan Butuh,"-7.7238886, 109.8693854","7VG9+CQR, Dlangu, Butuh",4.7,12,Kantor Pemerintah Distrik,DLANGU,BUTUH,KAB. PURWOREJO,JAWA TENGAH,company registry,830,2024-05-29 09:15:59
47,48,Gudang BULOG Butuh,"-7.7216742, 109.8518415","7VH2+8PP, Jl. Raya Kutoarjo-Kebumen",4.0,28,Gudang,DLANGU,BUTUH,KAB. PURWOREJO,JAWA TENGAH,company registry,830,2024-05-29 09:15:59
48,49,Jembatan Klewor Kemusu,"-7.2991318, 110.7506126",Jl. Klewor Bridge Gumuk Rejo,4.3,262,Jembatan,KLEWOR,KEMUSU,KAB. BOYOLALI,JAWA TENGAH,company registry,842,2024-05-29 09:16:02
49,50,Kantor Pos Kemusu,"-7.3083523, 110.7521616",Buka,4.3,11,Kantor Pos,KLEWOR,KEMUSU,KAB. BOYOLALI,JAWA TENGAH,company registry,842,2024-05-29 09:16:02
50,51,Gedung KPRI Kemusu,"-7.3061002, 110.7515095",Ngeksiharjo RT 04/01,4.4,5,Gedung Pertemuan,KLEWOR,KEMUSU,KAB. BOYOLALI,JAWA TENGAH,company registry,842,2024-05-29 09:16:02
51,52,00036 BANTARKAWUNG,"-7.2359525, 108.9375169","QW7Q+J26, Jalan Raya",5.0,1,Kantor Perusahaan,PANGEBATAN,BANTARKAWUNG,KAB. BREBES,JAWA TENGAH,company registry,850,2024-05-29 09:16:03
52,53,Wonosekar,"-7.0792111, 110.5455399",WGCW+867,4.2,61,Toko,WONOSEKAR,KARANGAWEN,KAB. DEMAK,JAWA TENGAH,company registry,900,2024-05-29 09:16:11
53,54,Pasar Desa Wonosekar,"-7.0801664, 110.5439495",WG9V+WHP,4.2,429,Pasar,WONOSEKAR,KARANGAWEN,KAB. DEMAK,JAWA TENGAH,company registry,900,2024-05-29 09:16:11
54,55,Balaidesa Tlogomojo Batangan,"-6.7419043, 111.173112",755F+66Q,4.8,4,Kantor Perusahaan,TLOGOMOJO,BATANGAN,KAB. PATI,JAWA TENGAH,company registry,967,2024-05-29 09:16:24
55,56,Kantor DESA Glinggang - Pracimantoro,"-8.0300165, 110.7801872",XQ9J+X3V,3.0,1,Kantor Pemerintahan Daerah,GLINGGANG,PRACIMANTORO,KAB. WONOGIRI,JAWA TENGAH,company registry,1011,2024-05-29 09:16:31
