,ID,NAMA,KOORDINAT,JML_RATING,ALAMAT,TAG_GOOGLE,KELURAHAN,KECAMATAN,KOTA,PROVINSI,TIPE,IDCARI,DATA_UPDATE
0,1,Kantor Desa Cigintung,"-7.2339125, 108.6972344",4,QM8W+CVQ,Kantor Pemerintah,CIGINTUNG,WANAREJA,KAB. CILACAP,JAWA TENGAH,company registry,6,2024-05-18 17:55:19
1,2,Cigintung,"-7.2320718, 108.6977312",0,Kabupaten Cilacap,Kec. Wanareja,CIGINTUNG,WANAREJA,KAB. CILACAP,JAWA TENGAH,company registry,6,2024-05-18 17:55:19
2,3,Cigintung,"-7.2340331, 108.6969888",0,Kabupaten Cilacap,Kec. Wanareja,CIGINTUNG,WANAREJA,KAB. CILACAP,JAWA TENGAH,company registry,6,2024-05-18 17:55:19
3,4,Kantor Desa Kalipoh,"-7.7285049, 109.4058543",1,Dusun Ranceban RT 7/II kode Pos,Kantor Perusahaan,KALIPOH,AYAH,KAB. KEBUMEN,JAWA TENGAH,company registry,20,2024-05-18 17:55:22
4,5,Kantor Kecamatan Selo,"-7.5010762, 110.4602859",18,Jl. Magelang - Boyolali No.103,Kantor Pemerintah Distrik,SAMIRAN,SELO,KAB. BOYOLALI,JAWA TENGAH,company registry,90,2024-05-18 17:55:30
5,6,Desa Samiran,"-7.5001046, 110.462693",10,"Ktr. Desa Samiran, Jl. Ki Hajar Saloka No.86",Kantor Pemerintah,SAMIRAN,SELO,KAB. BOYOLALI,JAWA TENGAH,company registry,90,2024-05-18 17:55:30
6,7,SIDODADI RT14 MOJODOYONG KEDAWUNG SRAGEN,"-7.5358363, 111.0387478",1,F27Q+MF9,Komplek perumahan,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-18 17:55:32
7,8,Kantor Njudekne TV,"-7.530806, 111.037938",0,Mojosari RT. 15,Kantor Perusahaan,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-18 17:55:32
8,9,Cungul mojodoyong Kedawung sragen,"-7.5245054, 111.0311377",0,F2GJ+5FR,Pemasok Bibit Tanaman,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-18 17:55:32
9,10,MTA Cabang Kedawung 4 (Mojodoyong),"-7.5359364, 111.039256",7,F27Q+JPC,Tempat Ibadah,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-18 17:55:32
10,11,"Sebulu , Mojodoyong , Kedawung , Sragen - Jawa Tengah","-7.5143421, 111.0237251",1,F2PF+7FQ,Komplek perumahan,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-18 17:55:32
11,12,PDAM mojodoyong,"-7.5347757, 111.0351132",1,F28P+342,Kantor Perusahaan,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-18 17:55:32
12,13,Sridotco,"-7.5370365, 111.0456755",0,"F27W+57M, Jl. Batujamus-Kerjo",Jasa Les Privat,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-18 17:55:32
13,14,LPK MITRA GAMA SMART,"-7.5175177, 111.0347178",29,Selorejort 26,Sekolah Bahasa,MOJODOYONG,KEDAWUNG,KAB. SRAGEN,JAWA TENGAH,company registry,112,2024-05-18 17:55:32
14,15,KANTOR,"-7.308888, 109.3700472",1,"Jl. Kantil, RT 1 RW1, Desa",Kantor Perusahaan,GANDASULI,BOBOTSARI,KAB. PURBALINGGA,JAWA TENGAH,company registry,127,2024-05-18 17:55:33
15,16,ID Express Bobotsari,"-7.3111417, 109.3649818",111,Jl. Pemuda,Jasa Pengiriman,GANDASULI,BOBOTSARI,KAB. PURBALINGGA,JAWA TENGAH,company registry,127,2024-05-18 17:55:33
