NAMA,KOORDINAT,ALAMAT,KOTA,KECAMATAN,KELURAHAN
Kuala Tripa Resto,"-3.4817755, 102.5105062","GG96+76J, Jl. H. Agus Salim, Rimbo Recap, Kec. Curup Sel., Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
View Garden Curup,"-3.4556850999999997, 102.6507431","Curup, Karang Jaya, Kec. Selupu Rejang, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
THE BOAT RESTO CURUP,"-3.4731186999999997, 102.5220362","Jl. M.H Thamrin No.170, Air Rambai, Kec. Curup, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Dopoa Te,"-3.4534461999999997, 102.5712236","GHWC+9G9, Cawang Baru, Kec. Selupu Rejang, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Lesehan Cipta Rasa 01,"-3.4759065, 102.52293139999999","Jl. M.H Thamrin No.150, Air Rambai, Kec. Curup, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Origins Resto (FB :origins Resto),"-3.4659275, 102.52401019999999","Jl. Merdeka No.71a, Ps. Baru, Kec. Curup, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
"Sate ""Buk Aling""","-3.4598069, 102.5318709","GGRJ+3PH, Kesambe Lama, Kec. Curup Tim., Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Kedai Ojolali,"-3.4518557, 102.7114469","GPX6+7H4, Belitar Muka, Kec. Sindang Kelingi, Kabupaten Rejang Lebong, Bengkulu 39153",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
AFIFA KITCHEN ( RESTO & LESEHAN ),"-3.4714448, 102.53215589999999","Jl. Letjend Suprapto, Talang Rimbo Lama, Kec. Curup Tengah, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
KEDAI YURA FOOD,"-3.4740886, 102.5599469","BTN Air Bang Idaman Permai Blok O No.20, Kec. Curup Tengah, Kabupaten Rejang Lebong, Bengkulu 39113",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Rumah Makan Alam Beringin,"-3.4614537, 102.6782262","GMQH+C79, Beringin Tiga, Kec. Sindang Kelingi, Kabupaten Rejang Lebong, Bengkulu 39182",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Rumah Makan Anak Pak Hasan,"-3.4749554999999996, 102.5226947","Jl. M.H Thamrin, Air Rambai, Kec. Curup, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Garneta Lesehan dan Karaoke,"-3.4538789, 102.6563037","Jl. Raya Curup - Lubuk Linggau No.98, Karang Jaya, Kec. Selupu Rejang, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Rumah makan mutiara putih,"-3.4652559999999997, 102.69328949999999","Pelalo, Kec. Sindang Kelingi, Kabupaten Rejang Lebong, Bengkulu 39182",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
mie ayam bang jo solo,"-3.4507111999999998, 102.5921487","GHXR+PV6, Kp. Baru, Kec. Selupu Rejang, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Rm Wisata,"-3.4546352999999996, 102.65119469999999","jl lubuk linggau km 19 danau mas harum bastari curup, Karang Jaya, Curup, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Pondok Lesehan Rakiti,"-3.4862474999999997, 102.5038402","Jl. H. Agus Salim No.ds, Lubuk Ubar, Kec. Curup Sel., Kabupaten Rejang Lebong, Bengkulu 39116",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
RUMAH MAKAN KELUARGA IAIN CURUP REJANG LEBONG,"-3.4531387, 102.52167279999999","KOMPLEK KAMPUS IAIN, Jl. Dr. Ak. Gani, Dusun Curup, Kec. Curup Utara, Kabupaten Rejang Lebong, Bengkulu 39119",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Rumah makan Soponyongko Ommah Seafood,"-3.4530187, 102.63824489999999","Jl. Raya Curup - Lubuk Linggau, Sumber Bening, Kec. Selupu Rejang, Kabupaten Rejang Lebong, Bengkulu 39153",KAB. REJANG LEBONG,Kec. Selupu Rejang,Karang Jaya
Rumah Makan Bukit Jelak,"3.0402399, 105.7007299","2PR2+37X, Rewak, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
KANTIN WISATA PAK IWAN,"2.9958150999999997, 105.72397559999999","Padang Melang, Letung, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Warung Mak Erwati,"2.9168688, 105.7720535","Ulu Maras, Jemaja Tim., Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Warung Makan Barokah,"2.9605921, 105.7321899","Mampok, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Teluk Kumbik Island,"2.9966968, 105.6922156","JL.MUHAMMAD SAID DESA LANDAK RT/RW 002/001 DUSUN 01 GANG teluk kumbik, Letung, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
ES Cikong Dan Kue,"2.9882625999999997, 105.70750749999999","XPQ5+822, Jl. Merdeka, Letung, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Pizza Pengen Roti Indonesia,"2.9259002, 105.7407269","Jl. Dapit, Ulu Maras, Jemaja Tim., Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Kedai Mie Tarempa Letung,"2.9885419, 105.7055089","XPQ4+C66, Letung, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Pabrik Es Lama,"3.0935129, 105.65178979999999","3MV2+CP3, Jl.Kampung Arung, Keramut, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Syahir Burger,"2.9844516999999997, 105.7157967","Jl. Merdeka,Desa Batu Berapit, Letung, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
RM. Ujung Landak,"3.0073138, 105.6920892","2M5R+6J, Letung, Kabupaten Kepulauan Anambas, Kepulauan Riau",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Wisama anugrah,"2.996569, 105.71751379999999","Letung, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
warung mak ude,"3.1055459, 105.6537231","4M43+6F9, jln ahmad yani, Terempa Bar, Keramut, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Dapoe Melayu,"2.9958221999999997, 105.72406289999999","Batu Berapit, Letung, Padang Melang, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
LALUNA TAREMPA,"3.2171906, 106.2197152","Terempa Bar., Kec. Siantan, Kabupaten Kepulauan Anambas, Kepulauan Riau 29791",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
UNCLE COFFEE &RESTO,"2.9892838, 105.7043964","30 meter dari penginapan miranti, Jl pelantar baru kp tengah, 2, Letung, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Warung Seafood Padang Melang,"2.9943451, 105.72380439999999","XPVF+PGM, Letung, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
LIKE BOBA,"2.9935635, 105.69889769999999","XMVX+CHC, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau 29792",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
VILLA & RESTO ICHA HAKIM,"3.2227246, 106.234798","66FM+3WM, Jl. Teluk Buluh, Terempa, Kec. Siantan, Kabupaten Kepulauan Anambas, Kepulauan Riau 29791",KAB. KEPULAUAN ANAMBAS,Kec. Jemaja,Letung
Dapur rumahan,"-3.2616161999999997, 120.33859799999999","Lanipa II desa bakti kecamatan ponrang selatan, Belopa, Kabupaten Luwu, Sulawesi Selatan 91999",KAB. LUWU,Belopa,Bajo
SARILAUT N CAFE,"-3.3707808999999997, 120.3133489","Samping SPBU Bajo, Bajo, Belopa, Luwu Regency, South Sulawesi 91995",KAB. LUWU,Belopa,Bajo
PLANET MARASA,"-3.3402095, 120.35464209999999","M953+WV6, Bunga Eja, Kec. Kamanre, Kabupaten Luwu, Sulawesi Selatan 91994",KAB. LUWU,Belopa,Bajo
Warung Sagena,"-3.3667423999999997, 120.35734819999999","Lebani, Kec. Belopa Utara, Kabupaten Luwu, Sulawesi Selatan 91994",KAB. LUWU,Belopa,Bajo
RM. GHAILAN,"-3.3688542999999997, 120.3575824","J9J5+F24, Sabe, Kec. Belopa Utara, Kabupaten Luwu, Sulawesi Selatan 91994",KAB. LUWU,Belopa,Bajo
Warung Reste,"-3.1503449999999997, 120.24801029999999","R6XX+V66, Toddopuli, Kec. Bua, Kabupaten Luwu, Sulawesi Selatan 91991",KAB. LUWU,Belopa,Bajo
Rumah Makan HRM (Halaman Rumah),"-3.3820637, 120.35283249999999","J993+54G, Unnamed Road, Balo-Balo, Kec. Belopa, Kabupaten Luwu, Sulawesi Selatan 91994",KAB. LUWU,Belopa,Bajo
Dapur desa ibu ani & Rumahmode Luwu,"-3.2599662, 120.27840409999999","Desa buntu batu RT 001/001 kec Bua, Buntu Batu, Kec. Ponrang, Kabupaten Luwu, Sulawesi Selatan 91993",KAB. LUWU,Belopa,Bajo
DAPUR PAPPUANGAN,"-3.3884018, 120.3692995","J969+JPM, Depan essence cafe, Tanamanai, Kec. Belopa, Kabupaten Luwu, Sulawesi Selatan",KAB. LUWU,Belopa,Bajo
Kantin A-Zahwa,"-3.3607943999999996, 120.3637277","Samping Dialer YAMAHA, Pammanu, Kec. Belopa Utara, Kabupaten Luwu, Sulawesi Selatan 91984",KAB. LUWU,Belopa,Bajo
Cafe Langoa,"-3.3900105999999997, 120.363526","Jl. Pahlawan, Tampumia Radda, Kec. Belopa, Kabupaten Luwu, Sulawesi Selatan 91994",KAB. LUWU,Belopa,Bajo
QCAFE,"-3.3874412, 120.36884769999999","Indonesia@085298191775, Tampumia Radda, Belopa, Luwu Regency, South Sulawesi 91994",KAB. LUWU,Belopa,Bajo
DAPUR BERYL,"-3.3788462, 120.306806","J8C4+FP7, Rumaju, Kec. Bajo, Kabupaten Luwu, Sulawesi Selatan 91995",KAB. LUWU,Belopa,Bajo
KASMIN FAMILY,"-3.2445367999999997, 120.3329254","Q84M+55M, Bassiang, Kec. Ponrang Sel., Kabupaten Luwu, Sulawesi Selatan 91999",KAB. LUWU,Belopa,Bajo
Warung mama bulla,"-3.3549287999999997, 120.22328069999999","J6WF+28C, Saronda, Kec. Bajo Bar., Kabupaten Luwu, Sulawesi Selatan 91995",KAB. LUWU,Belopa,Bajo
The zoel eating point,"-3.3898650999999997, 120.3633304","J967+384, Jl. Pahlawan jalur 2, Tampumia Radda, Kec. Belopa, Kabupaten Luwu, Sulawesi Selatan 91994",KAB. LUWU,Belopa,Bajo
WARUNG SUKOWATI,"-3.3801471, 120.3686109","J999+WCX, Jl. Dg. Pawellang, Sabe, Kec. Belopa Utara, Kabupaten Luwu, Sulawesi Selatan 91994",KAB. LUWU,Belopa,Bajo
Rumah Makan Teluk Bone,"-3.4686602, 120.36754029999999","Suli, Kec. Suli, Kabupaten Luwu, Sulawesi Selatan 91996",KAB. LUWU,Belopa,Bajo
Warung Mama Hanum,"-3.3803099, 120.30659279999999","Rumaju, Kec. Bajo, Kabupaten Luwu, Sulawesi Selatan 91995",KAB. LUWU,Belopa,Bajo
Tip Top Restaurant,"3.5859036, 98.6797125","Jl. Jend. Ahmad Yani No.92 A-B, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212",KOTA MEDAN,Kec. Medan Maimun,A U R
Restoran Miramar,"3.5825397999999997, 98.68204329999999","Jl. Pemuda No.11 ABC, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20212",KOTA MEDAN,Kec. Medan Maimun,A U R
Desadesa Resto,"3.5691281999999998, 98.6422458","Jl. Setia Budi No.190/12, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20154",KOTA MEDAN,Kec. Medan Maimun,A U R
Orchid Restaurant,"3.5981734, 98.68200619999999","Jl. Sutomo No.1, Perintis, Kec. Medan Tim., Kota Medan, Sumatera Utara 20235",KOTA MEDAN,Kec. Medan Maimun,A U R
District 10 Restaurant & Bar,"3.586649, 98.6744418","Forum Nine, Jl. Imam Bonjol No.9, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112",KOTA MEDAN,Kec. Medan Maimun,A U R
Golden Yen,"3.5883095, 98.668409","Business Center, Medan, Jl. S. Parman No.10-11 Blok B9, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20153",KOTA MEDAN,Kec. Medan Maimun,A U R
Ji Long Chinese Restaurant 吉龍餐馆,"3.5903706, 98.6769746","Grand City Hall Medan, JL.Balai Kota ,Medan Kota 20112, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20149",KOTA MEDAN,Kec. Medan Maimun,A U R
KEWIN KITCHEN,"3.5729884, 98.668931","Jl. DR. Cipto No.9, Anggrung, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20152",KOTA MEDAN,Kec. Medan Maimun,A U R
The Upper Level,"3.5861788999999997, 98.66972799999999","Jl. Taruma No.52 Level 2, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112",KOTA MEDAN,Kec. Medan Maimun,A U R
Rumah Makan Tabona,"3.5817525, 98.6815087","Jl. Mangkubumi No.17, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20151",KOTA MEDAN,Kec. Medan Maimun,A U R
Restoran Koki Sunda,"3.5827299999999997, 98.6666231","Jl. Hasanuddin No.1, Petisah Hulu, Kec. Medan Baru, Kota Medan, Sumatera Utara 20152",KOTA MEDAN,Kec. Medan Maimun,A U R
Taipan Restaurant,"3.5936111, 98.6758333","Capital Building, Jl. Putri Hijau No.1A Lantai 1, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111",KOTA MEDAN,Kec. Medan Maimun,A U R
Grand Liberty Restaurant,"3.6034596, 98.67307629999999","Jl. KL. Yos Sudarso No.A6, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20234",KOTA MEDAN,Kec. Medan Maimun,A U R
