NAMA,KOORDINAT,ALAMAT,KOTA,KECAMATAN,KELURAHAN
Bakmi GM,"-6.177688, 106.8311332","Jl. Medan Merdeka Tim. No.12 5, RT.2/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
Solaria - Stasiun Kereta Api Gambir,"-6.176958399999999, 106.8307524","Solaria Stasiun Gambir, Jl. Medan Merdeka Tim. No.17 Lantai 2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
Pintu masuk gambir CFC,"-6.1763476, 106.8307219","RRFJ+F79, Unnamed Road, RT.5/RW.2, Gambir, Central Jakarta City, Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
Stasiun Gambir Pejalan Kaki,"-6.1771446999999995, 106.8309774","Jl. Medan Merdeka Tim. No.17, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
Subway - Stasiun Gambir,"-6.1775478999999995, 106.83095809999999","Stasiun Jl. Medan Merdeka Tim., Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
RM SEDERHANA STASIUN GAMBIR,"-6.1783066, 106.8310491","RRCJ+MCF, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
Dapura Gambir,"-6.169469299999999, 106.8299521","Jl. Veteran I No.1, RT.4/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
KFC Stasiun Gambir,"-6.1771082999999996, 106.83040969999999","5, Jl. Medan Merdeka Tim. No.1 5, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
HokBen Stasiun Gambir,"-6.176770299999999, 106.83065549999999","Pintu Selatan Lt.1, Jl. Medan Merdeka Tim. No.1 5, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
CFC Stasiun Gambir Selatan,"-6.1768436, 106.83078309999999","Jl. Medan Merdeka Tim. No.1, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR
